Feature,Importance
cat__Country_Algeria,0.0
"cat__AttractionAddress_Asrikaton - Pakis, Malang 65100 Indonesia",0.0
cat__AttractionType_Ancient Ruins,0.0
"cat__AttractionAddress_Jl. Kartika Plaza, Kuta 80361 Indonesia",0.0
"cat__AttractionAddress_Jl. Gajahmada no. 2, Malang 65119 Indonesia",0.0
"cat__AttractionAddress_Jetis Wetan, Pacarejo, Semanu 55581 Indonesia",0.0
"cat__AttractionAddress_Jl. Boyong Taman Wisata, 55581 Indonesia",0.0
"cat__AttractionAddress_Jalan Raya Ceking, Tegalalang 80517 Indonesia",0.0
"cat__AttractionAddress_Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia",0.0
cat__Attraction_Tegenungan Waterfall,0.0
"cat__AttractionAddress_Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia",0.0
cat__AttractionType_Caverns & Caves,0.0
cat__AttractionType_Ballets,0.0
num__ContinentId_region,0.0
cat__Attraction_Balekambang Beach,0.0
cat__Attraction_Coban Rondo Waterfall,0.0
cat__Region_East Africa,0.0
"cat__AttractionAddress_Jl. Merdeka Utara, Malang 65119 Indonesia",0.0
"cat__AttractionAddress_Jl. Monkey Forest, Ubud 80571 Indonesia",0.0
"cat__AttractionAddress_Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",0.0
"cat__AttractionAddress_Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",0.0
"cat__AttractionAddress_Jl. Taman, 55133 Indonesia",0.0
"cat__AttractionAddress_Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",0.0
cat__AttractionAddress_Kulon Progo,0.0
cat__AttractionAddress_Kuta,0.0
cat__AttractionAddress_Malang,0.0
cat__AttractionAddress_Malang District,0.0
cat__AttractionAddress_Malang Lumajang,0.0
cat__AttractionAddress_Sanur,0.0
"cat__AttractionAddress_Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",0.0
cat__AttractionAddress_Seminyak,0.0
cat__AttractionAddress_Sleman,0.0
"cat__AttractionAddress_Sumber Manjing Wetan, Malang 65111 Indonesia",0.0
cat__Country_Palestine,0.0
cat__Country_Nicaragua,0.0
cat__Country_Montenegro,0.0
cat__Country_Morocco,0.0
cat__Country_Mozambique,0.0
cat__Country_Myanmar,0.0
cat__Country_NIGERIA,0.0
cat__Country_Namibia,0.0
cat__Country_Mongolia,0.0
cat__Country_Lithuania,0.0
cat__Country_Libya,0.0
cat__Country_Lebanon,0.0
cat__Country_Malta,0.0
cat__Country_Marshall Islands,0.0
cat__Country_Mauritius,0.0
cat__Country_Moldova,0.0
cat__Country_Kyrgyzstan,0.0
cat__Country_Luxembourg,0.0
cat__Country_French Polynesia,0.0
cat__Country_Ghana,0.0
cat__Country_East Timor,0.0
cat__Country_Dominican Republic,0.0
cat__Country_Ecuador,0.0
cat__Country_Europe,0.0
cat__Country_Iraq,0.0
cat__Country_Honduras,0.0
cat__Country_Guatemala,0.0
cat__Country_Israel,0.0
cat__Country_Jamaica,0.0
cat__Country_Jordan,0.0
cat__Country_Kazakhstan,0.0
cat__Country_Kenya,0.0
cat__Country_Grand Cayman,0.0
cat__Country_Trinidad and Tobago,0.0
cat__Country_Tunisia,0.0
cat__Country_Tanzania,0.0
cat__Country_South Korea,0.0
cat__Country_Sri Lanka,0.0
cat__Country_Tonga,0.0
cat__Country_Sudan,0.0
cat__Country_Republic of North Macedonia,0.0
cat__Country_Rwanda,0.0
cat__Country_Peru,0.0
cat__Country_Papua New Guinea,0.0
cat__Country_Senegal,0.0
cat__Country_Seychelles,0.0
cat__Country_St Martin / St Maarten,0.0
cat__Attraction_Museum Malang Tempo Doeloe,0.0
cat__Country_Uzbekistan,0.0
cat__Country_Uruguay,0.0
cat__Country_United Kingdom,0.0
cat__Country_Uganda,0.0
cat__Country_Turks and Caicos Islands,0.0
cat__Country_Zimbabwe,0.0
cat__Country_Yemen,0.0
cat__Country_Zambia,0.0
cat__Region_Caribbean,0.0
cat__Region_Australia,0.0
cat__Region_-,0.0
cat__Region_Central Africa,0.0
cat__Continent_Africa,0.0
cat__Region_Western Europe,0.0
cat__Continent_Australia & Oceania,0.0
cat__Continent_Europe,0.0
